name,coalition,num,party_1,party_2,start,finish
Cabezas Guerrero Elizabeth Enriqueta,Sin Bancada,13,PAIS,Ind.,14 de mayo de 2017,14 de mayo de 2021
Carrión Cevallos María José,Sin Bancada,18,PAIS,Ind.,14 de mayo de 2017,14 de mayo de 2021
Carvajal Aguirre Miguel Ángel,PAIS,19,PAIS,PAIS,14 de mayo de 2017,24 de mayo de 2017
Donoso Chiriboga Patricio,Unidad por el Cambio,101,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Guamba Díaz Nancy Jeanneth,Revolución Ciudadana,69,PAIS,FCS,12 de diciembre de 2018,14 de mayo de 2021
Holguín Naranjo Marcela Priscila,Revolución Ciudadana,37,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Larreátegui Fabara María Gabriela,Sin Bancada,114,CREO - SUMA,SUMA,14 de mayo de 2017,14 de mayo de 2021
Muñoz Alarcón Héctor Patricio,Sin Bancada,119,CREO - SUMA,SUMA,14 de mayo de 2017,14 de mayo de 2021
Muñoz López Christian Pabel,Revolución Ciudadana,43,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Naranjo Alvarado Priscila Amapola,Revolución Ciudadana,44,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Palacios Muñoz Juan Sebastián,Sin Bancada,130,CREO - SUMA,SUMA,14 de mayo de 2017,14 de mayo de 2021
Proaño Cifuentes Roberth Mauricio,Revolución Ciudadana,51,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Samaniego Maigua Franklin Omar,Revolución Ciudadana,58,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Terán Sarzosa Segundo Fausto,Sin Bancada,19,PAIS,Ind.,15 de noviembre de 2018,14 de mayo de 2021
Vallejo Jaramillo Norma Marlene,PAIS,19,PAIS,PAIS,24 de mayo de 2017,13 de noviembre de 2018
Villamar Jácome Pedro Fabricio,Sin bancada,136,CREO - SUMA,CREO,14 de mayo de 2017,10 de mayo de 2021
Reyes Merino Cristina,Unidad por el Cambio,136,CREO - SUMA,CREO,11 de mayo de 2021,14 de mayo de 2021
Yunda Machado Jorge Homero,PAIS,69,PAIS,PAIS,14 de mayo de 2017,12 de diciembre de 2018
Cambala Montece Carlos Alberto,Aliados PAIS,16,PAIS - Frente de Lucha Ciudadana,PAIS,14 de mayo de 2017,14 de mayo de 2021
Candell Soto Jaime Enrique Jimmy,Integración Nacional,107,Creyendo en Nuestra Gente,ID,14 de mayo de 2017,14 de mayo de 2021
Zambrano Castro Noralma Elizabeth,PAIS,76,PAIS - Frente de Lucha Ciudadana,PAIS,14 de mayo de 2017,14 de mayo de 2021
Cedeño Zambrano Johanna Elizabeth,Sin Bancada,20,PAIS,Ind.,14 de mayo de 2017,14 de mayo de 2021
Garzón Ricaurte William Antonio,PAIS,34,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Gende Calazacon Ángel Mesías,Integración Nacional,104,CREO - SUMA - Alianza Tsáchila,CREO,14 de mayo de 2017,14 de mayo de 2021
Ochoa Morante Manuel Alfredo,PAIS,45,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Alarcón Guillin Fredy Oscar,Bloque de Acción Democrática Independiente,125,PSP,Ind.,14 de mayo de 2017,14 de mayo de 2021
Azuero Rodas Eliseo Alexis,Bloque de Acción Democrática Independiente,77,ID,Ind.,14 de mayo de 2017,8 de septiembre de 2020
Guevara Lozada Flerida Yovana,Sin Bancada,77,ID,Ind.,8 de septiembre de 2020,14 de mayo de 2021
Poma Herrera Yofre Martin,Revolución Ciudadana,50,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Callejas Barona Fernando,Unidad por el Cambio,80,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Galarza Añazco Ana Mercedes,Unidad por el Cambio,103,CREO - SUMA,CREO,14 de mayo de 2017,7 de febrero de 2019
Torres Cobo Luis Esteban,Cambio Positivo,113,PSC - Tiempo de Cambio,PSC,19 de diciembre de 2018,14 de mayo de 2021
Torres Torres Luis Fernando,Cambio Positivo,113,PSC - Tiempo de Cambio,PSC,14 de mayo de 2017,19 de diciembre de 2018
Verdozoto Reinoso Rosa Isabel,Bloque de Acción Democrática Independiente,103,CREO - SUMA,MNJP,7 de febrero de 2019,14 de mayo de 2021
Villalva Miranda Lira de la Paz,Revolución Ciudadana,66,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Campoverde Robles Emilio Absalón,Unidad por el Cambio,82,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Peña Ontaneda Elio Germán,Integración Nacional,96,ID - MUPP,MUPP,14 de mayo de 2017,14 de mayo de 2021
Cuesta Santana Esther Adelina,Revolución Ciudadana,26,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Flores Vásquez Fernando Patricio,Unidad por el Cambio,102,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Melo Garzón Esteban Andrés,Revolución Ciudadana,41,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Ortega Álvarez Carlos,PAIS,48,PAIS,PAIS,6 de octubre de 2020,14 de mayo de 2021
Peña Pacheco Ximena Del Rocío,PAIS,48,PAIS,PAIS,14 de mayo de 2017,6 de octubre de 2020
Suquilanda Valdivieso Byron Vinicio,Unidad por el Cambio,134,CREO,CREO,14 de mayo de 2017,14 de mayo de 2021
Zambrano Valle Eduardo Mauricio,Revolución Ciudadana,94,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Gabriela Rivadeneira Burbano,PAIS,PAIS,PAIS,PAIS,2013,2017
Fernando Cordero Cueva,PAIS,PAIS,PAIS,PAIS,No asume el cargo,
Alexandra Ocles Padilla,PAIS,PAIS,PAIS,PAIS,2013,2017
Marcela Aguiñaga Vallejo,PAIS,PAIS,PAIS,PAIS,2013,2017
Miguel Carvajal Aguirre,PAIS,PAIS,PAIS,PAIS,2013,2017
Marlley Vásconez Arteaga,PAIS,PAIS,PAIS,PAIS,2013,2017
Carlos Viteri Gualinga,PAIS,PAIS,PAIS,PAIS,2013,2017
Linda Machuca Moscoso,PAIS,PAIS,PAIS,PAIS,2013,2016
Francisco Hagó Celi,PAIS,PAIS,PAIS,PAIS,2016,2016
Irma Gómez Walfendery,PAIS,PAIS,PAIS,PAIS,2016,2017
Iván Hurtado Angulo,PAIS,PAIS,PAIS,PAIS,2013,2013
Isabel Mosquera Yanez,PAIS,PAIS,PAIS,PAIS,2013,2017
Mae Montaño Valencia,Sin bancada,Sin bancada,CREO,CREO,2013,2017
Patricio Donoso Chiriboga,Sin bancada,Sin bancada,CREO,CREO,2013,2017
Cynthia Viteri Jiménez,Sin bancada,Sin bancada,PSC,PSC,2013,2016
Alfredo Serrano Valladares,Sin bancada,Sin bancada,PSC,PSC,2016,2017
Gilmar Gutiérrez Borbúa,Sin bancada,Sin bancada,PSP,PSP,2013,2017
Lourdes Tibán Guala,Sin bancada,Sin bancada,Pachakutik,MUPP,2013,2017
Abdalá Bucaram Pulley,Sin bancada,Sin bancada,PRE,PRE,2013,2014
Grace Moreira Macías,Sin bancada,Sin bancada,PRE,FE,2014,2017
Ramiro Aguilar Torres,Sin bancada,Sin bancada,SUMA,Ind.,2013,2016
José Francisco Guzmán Segovia,Sin bancada,Sin bancada,SUMA,SUMA,2016,2017
Paco Velasco Andrade,PAIS,PAIS,PAIS,PAIS,2013,2017
Blanca Argüello Troya,PAIS,PAIS,PAIS,PAIS,2013,2017
Ximena Ponce de León,PAIS,PAIS,PAIS,PAIS,2013,2017
Fernando Bustamante Ponce,Sin bancada,Sin bancada,PAIS,PAIS,2013,2017
Andrés Páez Benalcázar,Sin bancada,Sin bancada,CREO,CREO,2013,2016
Henry Llanes Suárez,Sin bancada,Sin bancada,CREO,CREO,2016,2017
Virgilio Hernández Enríquez,PAIS,PAIS,PAIS,PAIS,2013,2017
Paola Pabón Caranqui,PAIS,PAIS,PAIS,PAIS,2013,2015
René Caza Tipanta,PAIS,PAIS,PAIS,PAIS,2015,2017
Fausto Cayambe Tipán,PAIS,PAIS,PAIS,PAIS,2013,2016
Mariana Constante Nieto,PAIS,PAIS,PAIS,PAIS,2016,2017
María José Carrión Cevallos,PAIS,PAIS,PAIS,PAIS,2013,2017
Wilson Chicaiza Toapanta,Sin bancada,Sin bancada,CREO,CREO,2013,2017
María Augusta Calle Andrade,PAIS,PAIS,PAIS,PAIS,2013,2017
Soledad Buendía Herdoíza,PAIS,PAIS,PAIS,PAIS,2013,2017
Fausto Terán Sarzosa,PAIS,PAIS,PAIS,PAIS,2013,2017
Diego Salgado Ribadeneira,Sin bancada,Sin bancada,CREO,CREO,2013,2017
Mauricio Proaño Cifuentes,PAIS,PAIS,PAIS,PAIS,2013,2017
Esthela Acero Lanchimba,PAIS,PAIS,PAIS,PAIS,2013,2017
